Sample	Assembler	Length_ratio
NCTC10005	miniasm	103.61
NCTC10005	miniasm	103.214
NCTC10005	miniasm	101.565
NCTC10005	miniasm	103.318
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	97.3333
NCTC10005	miniasm	100
NCTC10005	miniasm	98.4863
NCTC10005	miniasm	101.703
NCTC10005	miniasm	104.748
NCTC10005	miniasm	100.598
NCTC10005	miniasm	104.274
NCTC10005	miniasm	102.662
NCTC10005	miniasm	100.569
NCTC10005	miniasm	99.6201
NCTC10005	miniasm	108.159
NCTC10005	miniasm	107.33
NCTC10005	miniasm	102.694
NCTC10005	miniasm	102.087
NCTC10005	miniasm	105.682
NCTC10005	miniasm	97.1963
NCTC10005	miniasm	100.303
NCTC10005	miniasm	116.307
NCTC10005	miniasm	114.901
NCTC10005	miniasm	104.346
NCTC10005	miniasm	108.433
NCTC10005	miniasm	98.434
NCTC10005	miniasm	101.792
NCTC10005	miniasm	104.033
NCTC10005	miniasm	106.058
NCTC10005	miniasm	103.371
NCTC10005	miniasm	100.448
NCTC10005	miniasm	100.897
NCTC10005	miniasm	96.03
NCTC10005	miniasm	104.311
NCTC10005	miniasm	103.303
NCTC10005	miniasm	104.944
NCTC10005	miniasm	105.344
NCTC10005	miniasm	96.5974
NCTC10005	miniasm	99.6729
NCTC10005	miniasm	98.61
NCTC10005	miniasm	97.3792
NCTC10005	miniasm	104.341
NCTC10005	miniasm	104.426
NCTC10005	miniasm	101.556
NCTC10005	miniasm	106.962
NCTC10005	miniasm	104.266
NCTC10005	miniasm	106.374
NCTC10005	miniasm	97.9475
NCTC10005	miniasm	100.996
NCTC10005	miniasm	109.876
NCTC10005	miniasm	102.616
NCTC10005	miniasm	106.573
NCTC10005	miniasm	101.006
NCTC10005	miniasm	97.9354
NCTC10005	miniasm	101.669
NCTC10005	miniasm	105.388
NCTC10005	miniasm	100.173
NCTC10005	miniasm	106.684
NCTC10005	miniasm	102.364
NCTC10005	miniasm	109.184
NCTC10005	miniasm	101.707
NCTC10005	miniasm	102.254
NCTC10005	miniasm	105.765
NCTC10005	miniasm	104.643
NCTC10005	miniasm	101.75
NCTC10005	miniasm	106.264
NCTC10005	miniasm	107.028
NCTC10005	miniasm	101.32
NCTC10005	miniasm	101.089
NCTC10005	miniasm	100.861
NCTC10005	miniasm	105.77
NCTC10005	miniasm	99.9812
NCTC10005	miniasm	100.82
NCTC10005	miniasm	102.089
NCTC10005	miniasm	99.0805
NCTC10005	miniasm	105.661
NCTC10005	miniasm	101.593
NCTC10005	miniasm	105.25
NCTC10005	miniasm	103.804
NCTC10005	miniasm	100.569
NCTC10005	miniasm	103.664
NCTC10005	miniasm	100
NCTC10005	miniasm	100.976
NCTC10005	miniasm	101.954
NCTC10005	miniasm	93.6482
NCTC10005	miniasm	101.726
NCTC10005	miniasm	103.833
NCTC10005	miniasm	110.221
NCTC10005	miniasm	97.3792
NCTC10005	miniasm	104.305
NCTC10005	miniasm	104.337
NCTC10005	miniasm	104.426
NCTC10005	miniasm	101.554
NCTC10005	miniasm	99.6719
NCTC10005	miniasm	106.956
NCTC10005	miniasm	104.262
NCTC10005	miniasm	106.374
NCTC10005	miniasm	98.7634
NCTC10005	miniasm	100.996
NCTC10005	miniasm	101.962
NCTC10005	miniasm	101.736
NCTC10005	miniasm	103.208
NCTC10005	miniasm	104.228
NCTC10005	miniasm	101.672
NCTC10005	miniasm	100.321
NCTC10005	miniasm	102.69
NCTC10005	miniasm	101.178
NCTC10005	miniasm	99.9202
NCTC10005	miniasm	101.917
NCTC10005	miniasm	100
NCTC10005	miniasm	98.4891
NCTC10005	miniasm	101.693
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	103.217
NCTC10005	miniasm	101.798
NCTC10005	miniasm	108.885
NCTC10005	miniasm	100.569
NCTC10005	miniasm	107.33
NCTC10005	miniasm	99.6201
NCTC10005	miniasm	104.257
NCTC10005	miniasm	103.321
NCTC10005	miniasm	102.662
NCTC10005	miniasm	108.18
NCTC10005	miniasm	104.744
NCTC10005	miniasm	100.598
NCTC10005	miniasm	101.568
NCTC10005	miniasm	102.228
NCTC10005	miniasm	104.114
NCTC10005	miniasm	101.868
NCTC10005	miniasm	98.5041
NCTC10005	miniasm	106.138
NCTC10005	miniasm	103.448
NCTC10005	miniasm	100.973
NCTC10005	miniasm	104.311
NCTC10005	miniasm	103.381
NCTC10005	miniasm	100.645
NCTC10005	miniasm	97.2921
NCTC10005	miniasm	104.796
NCTC10005	miniasm	102.158
NCTC10005	miniasm	102.324
NCTC10005	miniasm	98.72
NCTC10005	miniasm	99.4391
NCTC10005	miniasm	102.572
NCTC10005	miniasm	105.641
NCTC10005	miniasm	104.924
NCTC10005	miniasm	99.7167
NCTC10005	miniasm	100.569
NCTC10005	miniasm	102.733
NCTC10005	miniasm	99.4324
NCTC10005	miniasm	103.217
NCTC10005	miniasm	101.798
NCTC10005	miniasm	108.876
NCTC10005	miniasm	98.4877
NCTC10005	miniasm	107.33
NCTC10005	miniasm	101.695
NCTC10005	miniasm	104.274
NCTC10005	miniasm	103.321
NCTC10005	miniasm	108.18
